ID,Waiting Time,Response Time,Turn Around Time,Algorithm
0,49,352,331,FCFS
1,249,450,450,FCFS
4,294,686,686,FCFS
2,616,1179,1178,FCFS
3,1163,1374,1374,FCFS
6,1250,1822,1822,FCFS
5,1664,2627,2627,FCFS
7,2483,3174,3174,FCFS
8,3159,3220,3220,FCFS
9,3175,3347,3347,FCFS
10,3315,3907,3906,FCFS
11,3687,4599,4599,FCFS
12,4517,4878,4878,FCFS
13,4691,5192,5192,FCFS
15,5167,6189,6190,FCFS
14,6164,6456,6457,FCFS
16,6356,6607,6607,FCFS
18,6349,6460,6459,FCFS
17,6435,7067,7066,FCFS
19,6945,7218,7218,FCFS
20,6993,7415,7415,FCFS
22,7277,7477,7478,FCFS
23,7439,8241,8241,FCFS
21,8206,8223,8223,FCFS
24,8190,8201,8201,FCFS
25,8100,8190,8190,FCFS
27,7988,8519,8519,FCFS
26,8393,8794,8794,FCFS
29,8715,9016,9016,FCFS
28,8874,9776,9776,FCFS
30,9719,10741,10741,FCFS
31,10722,11354,11354,FCFS
32,11072,11314,11314,FCFS
33,11241,11341,11341,FCFS
35,11287,12369,12369,FCFS
34,12243,12424,12424,FCFS
36,12292,12592,12592,FCFS
37,12576,12627,12627,FCFS
39,12400,13183,13183,FCFS
38,13175,13266,13265,FCFS
41,13146,13248,13248,FCFS
40,13211,13462,13462,FCFS
42,13227,13328,13328,FCFS
43,13222,13624,13624,FCFS
44,13587,13808,13808,FCFS
45,13758,14269,14269,FCFS
46,14106,14308,14308,FCFS
47,14265,14358,14358,FCFS
48,14196,14348,14348,FCFS
50,14272,14883,14883,FCFS
49,14825,15016,15017,FCFS
51,14938,15279,15279,FCFS
52,15024,15475,15476,FCFS
53,15398,15549,15549,FCFS
54,15493,15824,15824,FCFS
56,15770,16711,16711,FCFS
55,16627,16637,16637,FCFS
57,16576,16789,16789,FCFS
59,16566,17047,17046,FCFS
58,16998,17420,17420,FCFS
61,17339,17630,17630,FCFS
60,17621,17741,17741,FCFS
62,17610,18162,18162,FCFS
63,17937,18237,18236,FCFS
64,18117,18288,18288,FCFS
65,18134,19095,19096,FCFS
