Patron 0,WaitingTime 1ms,ResponseTime 323, TAT in 322ms
Patron 1,WaitingTime 239ms,ResponseTime 1724, TAT in 1724ms
Patron 2,WaitingTime 1526ms,ResponseTime 1627, TAT in 1627ms
Patron 3,WaitingTime 1418ms,ResponseTime 1540, TAT in 1540ms
Patron 4,WaitingTime 1535ms,ResponseTime 1866, TAT in 1866ms
Patron 5,WaitingTime 1794ms,ResponseTime 2336, TAT in 2336ms
Patron 6,WaitingTime 2158ms,ResponseTime 2489, TAT in 2488ms
Patron 7,WaitingTime 2395ms,ResponseTime 2706, TAT in 2707ms
Patron 10,WaitingTime 2601ms,ResponseTime 3192, TAT in 3192ms
Patron 8,WaitingTime 3125ms,ResponseTime 3386, TAT in 3387ms
Patron 9,WaitingTime 3350ms,ResponseTime 3601, TAT in 3602ms
Patron 11,WaitingTime 3567ms,ResponseTime 3959, TAT in 3959ms
Patron 12,WaitingTime 3829ms,ResponseTime 3990, TAT in 3991ms
Patron 13,WaitingTime 3779ms,ResponseTime 4011, TAT in 4010ms
Patron 15,WaitingTime 3928ms,ResponseTime 4430, TAT in 4430ms
Patron 14,WaitingTime 4350ms,ResponseTime 4440, TAT in 4440ms
Patron 16,WaitingTime 4425ms,ResponseTime 4476, TAT in 4476ms
Patron 18,WaitingTime 4347ms,ResponseTime 4357, TAT in 4357ms
Patron 17,WaitingTime 4170ms,ResponseTime 5242, TAT in 5242ms
Patron 19,WaitingTime 5047ms,ResponseTime 5428, TAT in 5429ms
Patron 20,WaitingTime 5395ms,ResponseTime 5626, TAT in 5626ms
Patron 21,WaitingTime 5518ms,ResponseTime 5819, TAT in 5819ms
Patron 22,WaitingTime 5705ms,ResponseTime 6736, TAT in 6736ms
Patron 24,WaitingTime 6649ms,ResponseTime 6830, TAT in 6830ms
Patron 23,WaitingTime 6827ms,ResponseTime 6907, TAT in 6907ms
Patron 25,WaitingTime 6842ms,ResponseTime 7253, TAT in 7253ms
Patron 27,WaitingTime 7130ms,ResponseTime 7291, TAT in 7291ms
Patron 26,WaitingTime 7123ms,ResponseTime 7684, TAT in 7684ms
Patron 29,WaitingTime 7666ms,ResponseTime 8708, TAT in 8708ms
Patron 28,WaitingTime 8621ms,ResponseTime 9333, TAT in 9333ms
Patron 31,WaitingTime 9159ms,ResponseTime 9840, TAT in 9840ms
Patron 30,WaitingTime 9762ms,ResponseTime 10613, TAT in 10613ms
Patron 32,WaitingTime 10494ms,ResponseTime 10625, TAT in 10625ms
Patron 33,WaitingTime 10615ms,ResponseTime 10946, TAT in 10946ms
Patron 34,WaitingTime 10851ms,ResponseTime 11262, TAT in 11262ms
Patron 35,WaitingTime 11077ms,ResponseTime 11398, TAT in 11399ms
Patron 37,WaitingTime 11283ms,ResponseTime 11394, TAT in 11394ms
Patron 36,WaitingTime 11328ms,ResponseTime 11509, TAT in 11509ms
Patron 39,WaitingTime 11315ms,ResponseTime 11687, TAT in 11687ms
Patron 38,WaitingTime 11674ms,ResponseTime 11854, TAT in 11854ms
Patron 41,WaitingTime 11671ms,ResponseTime 12013, TAT in 12013ms
Patron 40,WaitingTime 11950ms,ResponseTime 12751, TAT in 12751ms
Patron 42,WaitingTime 12751ms,ResponseTime 13012, TAT in 13012ms
Patron 44,WaitingTime 12888ms,ResponseTime 13379, TAT in 13379ms
Patron 43,WaitingTime 13360ms,ResponseTime 14262, TAT in 14262ms
Patron 45,WaitingTime 14060ms,ResponseTime 14361, TAT in 14361ms
Patron 47,WaitingTime 14161ms,ResponseTime 14473, TAT in 14473ms
Patron 46,WaitingTime 14445ms,ResponseTime 14626, TAT in 14626ms
Patron 48,WaitingTime 14553ms,ResponseTime 15114, TAT in 15114ms
Patron 50,WaitingTime 15022ms,ResponseTime 15304, TAT in 15304ms
Patron 49,WaitingTime 15290ms,ResponseTime 16202, TAT in 16202ms
Patron 51,WaitingTime 15862ms,ResponseTime 16254, TAT in 16254ms
Patron 52,WaitingTime 16249ms,ResponseTime 17160, TAT in 17160ms
Patron 53,WaitingTime 16979ms,ResponseTime 17400, TAT in 17400ms
Patron 56,WaitingTime 17315ms,ResponseTime 17966, TAT in 17967ms
Patron 55,WaitingTime 17949ms,ResponseTime 18029, TAT in 18029ms
Patron 54,WaitingTime 18007ms,ResponseTime 18147, TAT in 18147ms
Patron 57,WaitingTime 18013ms,ResponseTime 18134, TAT in 18134ms
Patron 59,WaitingTime 17926ms,ResponseTime 18006, TAT in 18006ms
Patron 58,WaitingTime 17953ms,ResponseTime 18604, TAT in 18604ms
Patron 61,WaitingTime 18446ms,ResponseTime 18657, TAT in 18657ms
Patron 60,WaitingTime 18649ms,ResponseTime 18870, TAT in 18870ms
Patron 62,WaitingTime 18832ms,ResponseTime 19664, TAT in 19664ms
Patron 63,WaitingTime 19462ms,ResponseTime 19962, TAT in 19962ms
Patron 64,WaitingTime 19960ms,ResponseTime 20422, TAT in 20422ms
Patron 65,WaitingTime 20288ms,ResponseTime 20378, TAT in 20378ms
Patron 66,WaitingTime 20156ms,ResponseTime 20557, TAT in 20557ms
